iter	Passed	Remaining
0	1	120
1	2	106
2	3	105
3	4	98
4	5	98
5	13	209
6	14	189
7	15	175
8	16	163
9	16	152
10	17	144
11	18	135
12	19	127
13	19	120
14	30	171
15	31	162
16	31	155
17	32	148
18	33	141
19	33	135
20	34	128
21	34	123
22	35	118
23	36	114
24	37	111
25	37	108
26	38	104
27	39	101
28	39	97
29	40	94
30	41	91
31	41	88
32	42	86
33	43	83
34	43	81
35	44	78
36	44	76
37	45	74
38	46	72
39	46	70
40	47	68
41	47	65
42	48	64
43	48	62
44	49	60
45	49	58
46	50	56
47	51	55
48	51	53
49	52	52
50	52	50
51	53	49
52	54	48
53	54	46
54	55	45
55	55	43
56	56	42
57	56	41
58	57	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	33
64	60	32
65	61	31
66	61	30
67	66	31
68	66	30
69	67	28
70	67	27
71	68	26
72	69	25
73	69	24
74	70	23
75	71	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	75	14
84	76	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	84	0
