iter	Passed	Remaining
0	48	48394
1	49	24614
2	49	16607
3	50	12610
4	51	10217
5	52	8620
6	52	7477
7	53	6614
8	53	5937
9	54	5412
10	55	5018
11	56	4641
12	56	4321
13	57	4074
14	58	3837
15	59	3630
16	59	3448
17	60	3290
18	60	3144
19	61	3014
20	62	2897
21	62	2795
22	63	2697
23	64	2610
24	64	2525
25	65	2447
26	66	2378
27	66	2315
28	67	2262
29	68	2205
30	68	2155
31	69	2105
32	70	2054
33	70	2014
34	71	1980
35	72	1952
36	73	1910
37	74	1887
38	75	1853
39	76	1833
40	78	1835
41	79	1811
42	80	1783
43	80	1754
44	81	1726
45	82	1706
46	83	1691
47	85	1686
48	85	1663
49	89	1709
50	90	1688
51	91	1674
52	92	1655
53	93	1639
54	94	1619
55	94	1600
56	95	1582
57	96	1564
58	97	1552
59	98	1538
60	98	1523
61	99	1511
62	100	1497
63	101	1481
64	102	1471
65	103	1458
66	103	1445
67	104	1433
68	105	1420
69	106	1411
70	106	1398
71	107	1386
72	108	1374
73	109	1364
74	109	1355
75	110	1344
76	111	1333
77	112	1325
78	113	1318
79	113	1308
80	114	1299
81	115	1288
82	115	1275
83	116	1265
84	116	1258
85	117	1249
86	118	1240
87	118	1231
88	119	1223
89	120	1214
90	120	1205
91	121	1198
92	122	1192
93	123	1186
94	123	1179
95	124	1172
96	125	1166
97	125	1159
98	126	1152
99	127	1145
100	128	1139
101	128	1132
102	129	1126
103	129	1119
104	130	1113
105	131	1108
106	132	1102
107	132	1096
108	133	1090
109	134	1084
110	135	1081
111	135	1077
112	136	1071
113	137	1067
114	138	1068
115	140	1067
116	141	1069
117	147	1104
118	148	1102
119	150	1102
120	151	1100
121	152	1096
122	153	1093
123	154	1090
124	155	1086
125	155	1081
126	156	1077
127	157	1073
128	159	1073
129	159	1069
130	160	1064
131	161	1063
132	162	1058
133	163	1055
134	164	1051
135	164	1046
136	165	1041
137	165	1036
138	166	1031
139	167	1028
140	168	1023
141	168	1018
142	169	1016
143	170	1012
144	171	1008
145	171	1003
146	172	1000
147	173	996
148	173	992
149	174	989
150	175	986
151	176	982
152	176	978
153	177	975
154	178	971
155	178	968
156	179	966
157	180	964
158	181	961
159	182	957
160	182	952
161	183	949
162	184	946
163	185	943
164	185	939
165	186	937
166	187	933
167	188	931
168	188	928
169	189	927
170	190	925
171	191	922
172	192	920
173	193	917
174	193	914
175	194	911
176	195	908
177	195	904
178	197	905
179	198	902
180	198	899
181	199	897
182	200	894
183	201	892
184	201	889
185	202	886
186	204	890
187	205	888
188	206	885
189	207	882
190	207	879
191	208	877
192	209	874
193	209	871
194	210	869
195	211	866
196	211	864
197	212	861
198	213	858
199	214	857
200	215	854
201	215	852
202	216	850
203	217	847
204	217	845
205	218	843
206	219	840
207	220	838
208	220	836
209	221	834
210	222	831
211	223	829
212	223	827
213	224	825
214	225	822
215	226	820
216	226	818
217	227	815
218	228	813
219	228	811
220	229	809
221	230	807
222	230	804
223	231	802
224	232	800
225	233	798
226	234	797
227	235	795
228	235	793
229	236	792
230	237	790
231	238	788
232	238	786
233	239	785
234	241	785
235	241	783
236	242	782
237	243	780
238	244	778
239	247	782
240	247	780
241	248	778
242	249	776
243	250	775
244	251	774
245	252	773
246	253	771
247	253	769
248	255	769
249	255	767
250	256	766
251	257	764
252	258	763
253	259	761
254	260	759
255	260	757
256	261	755
257	262	754
258	263	752
259	263	751
260	264	749
261	266	749
262	267	748
263	267	746
264	268	745
265	269	743
266	270	741
267	270	739
268	271	737
269	272	735
270	273	734
271	273	732
272	274	731
273	275	729
274	276	727
275	277	726
276	278	726
277	278	724
278	279	722
279	280	721
280	281	720
281	282	719
282	283	717
283	284	716
284	285	715
285	287	716
286	287	715
287	288	713
288	289	712
289	290	710
290	291	709
291	292	708
292	292	706
293	294	706
294	295	705
295	296	704
296	296	702
297	297	700
298	298	699
299	299	698
300	299	696
301	300	694
302	301	693
303	302	692
304	303	690
305	303	689
306	304	687
307	305	685
308	306	684
309	306	683
310	307	681
311	308	680
312	309	678
313	309	677
314	310	675
315	311	674
316	312	672
317	312	671
318	313	669
319	314	668
320	315	667
321	316	666
322	317	664
323	317	663
324	318	661
325	319	659
326	320	658
327	320	657
328	321	656
329	322	654
330	323	653
331	323	651
332	324	650
333	325	649
334	326	648
335	327	647
336	329	648
337	330	646
338	330	645
339	331	643
340	332	642
341	333	641
342	334	639
343	334	638
344	335	637
345	336	635
346	336	634
347	337	632
348	338	631
349	339	630
350	339	628
351	341	628
352	342	627
353	342	625
354	343	624
355	344	622
356	345	622
357	346	621
358	347	620
359	348	620
360	349	618
361	350	617
362	351	616
363	352	615
364	353	614
365	354	613
366	355	612
367	355	610
368	356	609
369	357	608
370	358	607
371	358	606
372	359	604
373	360	603
374	360	601
375	361	599
376	362	598
377	362	596
378	363	595
379	364	594
380	364	592
381	365	591
382	366	590
383	366	588
384	367	587
385	368	585
386	369	584
387	370	583
388	370	582
389	371	580
390	372	580
391	373	578
392	373	577
393	374	576
394	375	574
395	376	573
396	376	572
397	377	571
398	378	569
399	379	568
400	379	567
401	380	566
402	382	566
403	383	565
404	383	563
405	384	562
406	385	561
407	386	560
408	386	558
409	387	557
410	388	556
411	389	555
412	389	554
413	390	552
414	391	551
415	392	550
416	392	549
417	394	549
418	395	548
419	396	547
420	396	545
421	397	544
422	398	543
423	399	542
424	399	540
425	400	539
426	400	537
427	401	536
428	402	535
429	403	534
430	404	533
431	405	532
432	405	531
433	406	530
434	409	531
435	409	530
436	410	528
437	411	527
438	412	526
439	413	526
440	414	525
441	414	523
442	415	522
443	416	521
444	417	520
445	419	520
446	420	520
447	423	522
448	425	522
449	427	522
450	428	521
451	429	521
452	431	520
453	432	519
454	433	519
455	434	518
456	435	517
457	436	516
458	437	515
459	437	513
460	438	512
461	439	511
462	440	510
463	440	509
464	441	508
465	442	507
466	443	505
467	443	504
468	444	503
469	445	502
470	446	501
471	447	500
472	448	499
473	448	497
474	449	496
475	449	495
476	450	494
477	451	493
478	452	491
479	452	490
480	453	489
481	454	487
482	454	486
483	455	485
484	456	484
485	458	484
486	458	483
487	459	482
488	460	481
489	461	479
490	461	478
491	462	477
492	463	476
493	463	475
494	464	473
495	465	472
496	466	471
497	466	470
498	467	469
499	468	468
500	468	466
501	469	465
502	470	464
503	471	464
504	472	462
505	473	461
506	473	460
507	474	460
508	475	458
509	476	458
510	478	457
511	479	456
512	480	456
513	481	455
514	481	453
515	482	452
516	483	451
517	483	450
518	484	448
519	487	450
520	488	449
521	490	448
522	490	447
523	491	446
524	492	445
525	492	444
526	493	443
527	494	441
528	495	440
529	495	439
530	496	438
531	497	437
532	498	436
533	498	435
534	499	434
535	500	432
536	500	431
537	501	430
538	502	429
539	502	428
540	503	427
541	504	426
542	505	425
543	505	423
544	506	422
545	507	421
546	507	420
547	508	419
548	509	418
549	509	417
550	510	415
551	511	414
552	512	413
553	515	415
554	516	413
555	516	412
556	517	411
557	518	410
558	519	409
559	520	409
560	521	407
561	521	406
562	522	405
563	523	404
564	524	403
565	525	402
566	525	401
567	526	400
568	527	399
569	527	398
570	528	397
571	529	396
572	530	394
573	530	393
574	531	392
575	532	391
576	532	390
577	533	389
578	534	388
579	534	387
580	535	386
581	536	385
582	536	383
583	537	382
584	538	381
585	538	380
586	539	379
587	540	378
588	541	377
589	541	376
590	542	375
591	543	374
592	543	373
593	544	371
594	544	370
595	545	369
596	547	369
597	548	368
598	549	367
599	549	366
600	550	365
601	551	364
602	552	363
603	552	362
604	553	361
605	554	360
606	554	359
607	555	358
608	556	357
609	556	355
610	557	354
611	558	353
612	558	352
613	559	351
614	560	350
615	560	349
616	561	348
617	562	347
618	563	346
619	563	345
620	564	344
621	565	343
622	565	342
623	566	341
624	567	340
625	567	339
626	568	338
627	569	337
628	570	336
629	570	335
630	571	334
631	572	333
632	572	332
633	573	331
634	574	330
635	574	329
636	575	328
637	576	326
638	576	325
639	577	324
640	578	323
641	578	322
642	579	321
643	580	320
644	581	319
645	581	318
646	582	317
647	583	316
648	583	315
649	584	314
650	584	313
651	585	312
652	586	311
653	586	310
654	587	309
655	588	308
656	589	307
657	589	306
658	590	305
659	591	304
660	591	303
661	592	302
662	593	301
663	593	300
664	594	299
665	595	298
666	595	297
667	596	296
668	597	295
669	598	294
670	598	293
671	599	292
672	600	291
673	600	290
674	601	289
675	602	288
676	602	287
677	603	286
678	604	285
679	604	284
680	605	283
681	606	282
682	606	281
683	607	280
684	608	279
685	608	278
686	609	277
687	610	276
688	611	275
689	611	274
690	612	273
691	612	272
692	613	271
693	614	270
694	615	269
695	615	268
696	616	267
697	617	267
698	617	266
699	618	265
700	619	264
701	619	263
702	620	262
703	621	261
704	621	260
705	622	259
706	623	258
707	623	257
708	624	256
709	624	255
710	625	254
711	626	253
712	626	252
713	627	251
714	627	250
715	628	249
716	629	248
717	629	247
718	630	246
719	631	245
720	631	244
721	632	243
722	633	242
723	633	241
724	634	240
725	635	239
726	635	238
727	636	237
728	637	236
729	637	235
730	638	234
731	638	233
732	639	233
733	640	232
734	640	231
735	641	230
736	642	229
737	642	228
738	643	227
739	644	226
740	645	225
741	646	224
742	646	223
743	647	222
744	648	221
745	648	220
746	649	219
747	650	219
748	650	218
749	651	217
750	652	216
751	653	215
752	653	214
753	654	213
754	655	212
755	655	211
756	656	210
757	657	209
758	658	208
759	658	208
760	659	207
761	659	206
762	660	205
763	661	204
764	662	203
765	662	202
766	663	201
767	664	200
768	665	199
769	665	198
770	666	197
771	667	197
772	667	196
773	668	195
774	669	194
775	670	193
776	670	192
777	672	191
778	673	190
779	674	190
780	675	189
781	678	189
782	679	188
783	680	187
784	681	186
785	682	185
786	682	184
787	683	183
788	684	183
789	685	182
790	686	181
791	686	180
792	687	179
793	688	178
794	688	177
795	689	176
796	691	176
797	692	175
798	693	174
799	693	173
800	694	172
801	695	171
802	696	170
803	696	169
804	697	168
805	698	168
806	698	167
807	699	166
808	702	165
809	703	165
810	704	164
811	705	163
812	705	162
813	706	161
814	707	160
815	708	159
816	708	158
817	709	157
818	710	157
819	711	156
820	712	155
821	713	154
822	714	153
823	715	152
824	715	151
825	716	150
826	717	150
827	717	149
828	718	148
829	718	147
830	719	146
831	720	145
832	720	144
833	721	143
834	722	142
835	722	141
836	723	140
837	724	139
838	724	139
839	725	138
840	725	137
841	726	136
842	727	135
843	727	134
844	728	133
845	728	132
846	729	131
847	730	130
848	730	129
849	731	129
850	732	128
851	732	127
852	733	126
853	733	125
854	734	124
855	735	123
856	735	122
857	736	121
858	737	120
859	737	120
860	738	119
861	738	118
862	739	117
863	740	116
864	740	115
865	741	114
866	741	113
867	742	112
868	743	112
869	743	111
870	744	110
871	744	109
872	746	108
873	747	107
874	748	106
875	749	106
876	750	105
877	750	104
878	751	103
879	752	102
880	752	101
881	753	100
882	754	99
883	754	99
884	755	98
885	756	97
886	756	96
887	757	95
888	758	94
889	758	93
890	759	92
891	760	92
892	761	91
893	761	90
894	762	89
895	762	88
896	763	87
897	763	86
898	764	85
899	765	85
900	766	84
901	767	83
902	768	82
903	768	81
904	769	80
905	769	79
906	770	78
907	771	78
908	771	77
909	772	76
910	772	75
911	774	74
912	774	73
913	775	72
914	776	72
915	776	71
916	777	70
917	777	69
918	778	68
919	779	67
920	779	66
921	780	66
922	780	65
923	781	64
924	782	63
925	784	62
926	784	61
927	785	60
928	785	60
929	786	59
930	791	58
931	791	57
932	792	56
933	793	56
934	793	55
935	794	54
936	795	53
937	796	52
938	796	51
939	797	50
940	798	50
941	798	49
942	799	48
943	800	47
944	800	46
945	801	45
946	802	44
947	802	44
948	803	43
949	803	42
950	805	41
951	805	40
952	806	39
953	807	38
954	808	38
955	808	37
956	809	36
957	810	35
958	811	34
959	811	33
960	812	32
961	813	32
962	814	31
963	815	30
964	816	29
965	816	28
966	817	27
967	818	27
968	818	26
969	819	25
970	820	24
971	820	23
972	821	22
973	822	21
974	822	21
975	824	20
976	825	19
977	825	18
978	826	17
979	826	16
980	827	16
981	828	15
982	828	14
983	829	13
984	830	12
985	830	11
986	831	10
987	832	10
988	832	9
989	833	8
990	834	7
991	834	6
992	835	5
993	835	5
994	836	4
995	836	3
996	837	2
997	838	1
998	839	0
999	839	0
